Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,54302.44,651629.28,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
[Esfera] Assessment Migration OCI to AWS-V2 > AWS Backup,US East (N. Virginia),SHARED EBS EC2,EBS Backup,0,819.54,9834.48,USD,"Estimated annual increase in primary data (%) (0.002), Estimated daily change of primary data (%) (0.005), Amount of primary data to be backed up (6 TB), Monthly backups cold retention period (12 Months), Daily backups warm retention period (15 Days), Hourly backups warm retention period (15 Days)"
[Esfera] Assessment Migration OCI to AWS-V2 > AWS Backup,US East (N. Virginia),TST EBS EC2,EBS Backup,0,90.03,1080.36,USD,"Estimated annual increase in primary data (%) (0.002), Estimated daily change of primary data (%) (0.005), Amount of primary data to be backed up (1.5 TB), Monthly backups cold retention period (3 Months), Daily backups warm retention period (15 Days)"
[Esfera] Assessment Migration OCI to AWS-V2 > AWS Backup,US East (N. Virginia),PRD RDS MYSQL,RDS Backup,0,1418.66,17023.92,USD,"Estimated annual increase in primary data (%) (0.02), Estimated daily change of primary data (%) (0.005), Amount of primary data to be backed up (15.5 TB), Hourly backups warm retention period (15 Days), Monthly backups warm retention period (12 Months), Continuous backups warm retention period (15 Days), Daily backups warm retention period (15 Days)"
[Esfera] Assessment Migration OCI to AWS-V2 > AWS Backup,US East (N. Virginia),STG RDS MYSQL,RDS Backup,0,71.27,855.24,USD,"Estimated annual increase in primary data (%) (0.02), Estimated daily change of primary data (%) (0.005), Amount of primary data to be backed up (1.5 TB), Hourly backups warm retention period (15 Days), Monthly backups warm retention period (3 Months), Continuous backups warm retention period ( Days), Daily backups warm retention period (15 Days)"
[Esfera] Assessment Migration OCI to AWS-V2 > AWS Backup,US East (N. Virginia),SHARED RDS PostgreSQL,RDS Backup,0,5.38,64.56,USD,"Estimated annual increase in primary data (%) (0.02), Estimated daily change of primary data (%) (0.005), Amount of primary data to be backed up (100 GB), Hourly backups warm retention period (15 Days), Monthly backups warm retention period (3 Months), Continuous backups warm retention period (15 Days), Daily backups warm retention period (15 Days)"
[Esfera] Assessment Migration OCI to AWS-V2 > AWS Backup,US West (N. California),Backup Replication Other Region,S3 Standard - Infrequent Access,0,722.53,8670.36,USD,S3 Standard-IA storage (49 TB per month)
[Esfera] Assessment Migration OCI to AWS-V2 > AWS Backup,US West (N. California),Backup Replication Other Region,Data Transfer,0,0,0.00,USD,"DT Inbound: All other regions (1 TB per month), DT Outbound: Not selected (0 TB per month)"
[Esfera] Assessment Migration OCI to AWS-V2 > Container Registry,US East (N. Virginia),Container Registry ,Amazon Elastic Container Registry,0,204.8,2457.60,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), Amount of data stored (2 TB per month)"
[Esfera] Assessment Migration OCI to AWS-V2 > Security,US East (N. Virginia),,AWS Secrets Manager,0,200,2400.00,USD,"Number of secrets (500), Average duration of each secret (30 days), Number of API calls (10.000 per month)"
[Esfera] Assessment Migration OCI to AWS-V2 > Security,US East (N. Virginia),AWS Key Management Service ,AWS Key Management Service,0,11,132.00,USD,"Number of customer managed Customer Master Keys (CMK) (5), Number of symmetric requests (2000000)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
