Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,54302.44,651629.28,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
[Esfera] Assessment Migration OCI to AWS-V2 > RDS,US East (N. Virginia),STG-PSQL,Amazon RDS for PostgreSQL,0,212.25,2547.00,USD,"Storage amount (100 GB), Storage volume (General Purpose SSD (gp3)), Nodes (1), Instance Type (db.r6i.xlarge), Utilization (On-Demand only) (33 %Utilized/Month), Deployment Option (Single-AZ), Pricing Model (OnDemand)"
[Esfera] Assessment Migration OCI to AWS-V2 > RDS,US East (N. Virginia),VINSQL002ESF - Redash,Amazon RDS for PostgreSQL,0,196.02,2352.24,USD,"Storage amount (600 GB), Storage volume (General Purpose SSD (gp3)), Nodes (1), Instance Type (db.m7i.large), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Single-AZ), Pricing Model (Reserved), Lease Offering Term (1yr), Purchase Option (No Upfront), General Purpose SSD (gp3) - IOPS (12000), General Purpose SSD (gp3) - Throughput (500 MiBps)"
[Esfera] Assessment Migration OCI to AWS-V2 > EKS,US East (N. Virginia),,Amazon EKS,0,292,3504.00,USD,"Number of EKS Clusters (4), Number of hybrid nodes (1 per month)"
[Esfera] Assessment Migration OCI to AWS-V2 > EKS,US East (N. Virginia),PRD VM.Standard.E4.Flex  = 20 Nodes,Amazon EC2 ,0,1293.13,15517.56,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 7), Advance EC2 instance (r6a.2xlarge), Pricing strategy (Compute Savings Plans 3yr No Upfront), Enable monitoring (disabled), EBS Storage amount (150 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
[Esfera] Assessment Migration OCI to AWS-V2 > EKS,US East (N. Virginia),TST VM.Standard2.2  = 14 Nodes,Amazon EC2 ,0,1151.64,13819.68,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 16), Advance EC2 instance (m6a.xlarge), Pricing strategy (Compute Savings Plans 3yr No Upfront), Enable monitoring (disabled), EBS Storage amount (100 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
[Esfera] Assessment Migration OCI to AWS-V2 > EKS,US East (N. Virginia),STG t3a.2xlarge = 14 || VM.Standard.E4.Flex  = Node 16,Amazon EC2 ,0,1710.61,20527.32,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 11), Advance EC2 instance (m7i.2xlarge), Pricing strategy (Compute Savings Plans 3yr No Upfront), Enable monitoring (disabled), EBS Storage amount (78 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
[Esfera] Assessment Migration OCI to AWS-V2 > EKS,US East (N. Virginia),Tools t3a.2xlarge 3 || VM.Standard.E4.Flex  = 4 Nodes,Amazon EC2 ,0,675.1,8101.20,USD,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 5), Advance EC2 instance (m5a.2xlarge), Pricing strategy (Compute Savings Plans 3yr No Upfront), Enable monitoring (disabled), EBS Storage amount (100 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
[Esfera] Assessment Migration OCI to AWS-V2 > DocumentDB,US East (N. Virginia),PRD Audit,Amazon DocumentDB (with MongoDB compatibility),0,315.78,3789.36,USD,"DocumentDB Cluster Configuration Option (Amazon DocumentDB Standard), Number of vCPUs per Node (for all Nodes in shard) (2), Quantity (3), Instance type (db.r6g.2xlarge), Server utilization (100 Hours/Month), Quantity (1)"
[Esfera] Assessment Migration OCI to AWS-V2 > DocumentDB,US East (N. Virginia),TST MS,Amazon DocumentDB (with MongoDB compatibility),0,8.68,104.16,USD,"DocumentDB Cluster Configuration Option (Amazon DocumentDB Standard), Number of vCPUs per Node (for all Nodes in shard) (2), Quantity (1), Instance type (db.r6g.large), Server utilization (33 Hours/Month), Quantity (1)"
[Esfera] Assessment Migration OCI to AWS-V2 > DocumentDB,US East (N. Virginia),STG Audit,Amazon DocumentDB (with MongoDB compatibility),0,17.37,208.44,USD,"DocumentDB Cluster Configuration Option (Amazon DocumentDB Standard), Number of vCPUs per Node (for all Nodes in shard) (2), Quantity (2), Instance type (db.r6g.large), Server utilization (33 Hours/Month), Quantity (1)"
[Esfera] Assessment Migration OCI to AWS-V2 > DocumentDB,US East (N. Virginia),PRD MS,Amazon DocumentDB (with MongoDB compatibility),0,315.78,3789.36,USD,"DocumentDB Cluster Configuration Option (Amazon DocumentDB Standard), Number of vCPUs per Node (for all Nodes in shard) (2), Quantity (3), Instance type (db.r6g.2xlarge), Server utilization (100 Hours/Month), Quantity (1)"
[Esfera] Assessment Migration OCI to AWS-V2 > DocumentDB,US East (N. Virginia),TST Audit,Amazon DocumentDB (with MongoDB compatibility),0,8.68,104.16,USD,"DocumentDB Cluster Configuration Option (Amazon DocumentDB Standard), Number of vCPUs per Node (for all Nodes in shard) (2), Quantity (1), Instance type (db.r6g.large), Server utilization (33 Hours/Month), Quantity (1)"
[Esfera] Assessment Migration OCI to AWS-V2 > DocumentDB,US East (N. Virginia),STG MS,Amazon DocumentDB (with MongoDB compatibility),0,17.37,208.44,USD,"DocumentDB Cluster Configuration Option (Amazon DocumentDB Standard), Number of vCPUs per Node (for all Nodes in shard) (2), Quantity (2), Instance type (db.r6g.large), Server utilization (33 Hours/Month), Quantity (1)"
[Esfera] Assessment Migration OCI to AWS-V2 > ElastiCache,US East (N. Virginia),STG,Amazon ElastiCache,0,126.14,1513.68,USD,"Engine (Valkey), Instance type (cache.r5.large), Cache Engine (Valkey), Nodes (1), Utilization (On-Demand only) (100 %Utilized/Month), Cache Node Type (Memory optimized), Pricing strategy (OnDemand), Nodes (0), Instance type (cache.r6gd.12xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Cache Engine (Redis), Cache Node Type (Memory optimized), Pricing strategy (OnDemand)"
[Esfera] Assessment Migration OCI to AWS-V2 > ElastiCache,US East (N. Virginia),TST,Amazon ElastiCache,0,126.14,1513.68,USD,"Engine (Valkey), Instance type (cache.r5.large), Cache Engine (Valkey), Nodes (1), Utilization (On-Demand only) (100 %Utilized/Month), Cache Node Type (Memory optimized), Pricing strategy (OnDemand), Nodes (0), Instance type (cache.r6gd.12xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Cache Engine (Redis), Cache Node Type (Memory optimized), Pricing strategy (OnDemand)"
[Esfera] Assessment Migration OCI to AWS-V2 > ElastiCache,US East (N. Virginia),PRD,Amazon ElastiCache,0,378.43,4541.16,USD,"Engine (Valkey), Instance type (cache.r5.large), Cache Engine (Valkey), Nodes (3), Utilization (On-Demand only) (100 %Utilized/Month), Cache Node Type (Memory optimized), Pricing strategy (OnDemand), Nodes (0), Instance type (cache.r6gd.12xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Cache Engine (Redis), Cache Node Type (Memory optimized), Pricing strategy (OnDemand)"
[Esfera] Assessment Migration OCI to AWS-V2 > OpenSearch,US East (N. Virginia),TST OpenSearch,Amazon OpenSearch Service,0,717.6,8611.20,USD,"Number of instances (2), Storage for each Amazon OpenSearch Service instance (General Purpose SSD (gp3)), Number of nodes (0), Instance type (ultrawarm1.large.search), Utilization (On-Demand only) (100 %Utilized/Month), Pricing strategy (OnDemand), Nodes (2), Instance type (r7i.xlarge.search), Utilization (On-Demand only) (100 %Utilized/Month), Instance Node Type (Memory optimized), Storage Type (EBS Only), Pricing strategy (Reserved No Upfront 3yr), Nodes (0), Instance type (r7g.large.search), Utilization (On-Demand only)  (100 %Utilized/Month), Instance Node Type (Memory optimized), Storage Type (EBS Only), Pricing strategy (Reserved No Upfront 3yr), Storage amount per volume (gp3) (1500 GB), Provisioning IOPS per volume (gp3) (6000), Provisioning throughput (MB/s) per volume (gp3) (300 MBps)"
